name,year,radius
11 Com b,2007,12.200
11 UMi b,2009,12.300
14 And b,2008,13.100
14 Her b,2002,12.600
16 Cyg B b,1996,13.500
17 Sco b,2020,12.900
18 Del b,2008,12.500
1RXS J160929.1-210524 b,2008,18.647
24 Boo b,2018,13.900
24 Sex b,2010,13.400
24 Sex c,2010,13.900
2M0437 b,2021,13.000
2MASS J01033563-5515561 AB b,2013,12.300
2MASS J01225093-2439505 b,2013,11.209
2MASS J02192210-3925225 b,2015,16.141
2MASS J0249-0557 c,2018,12.400
2MASS J03590986+2009361 b,2024,12.200
2MASS J04414489+2301513 b,2010,12.600
2MASS J11011926-7732383 b,2024,11.900
2MASS J11550485-7919108 b,2024,12.100
2MASS J12073346-3932539 b,2004,12.900
2MASS J19383260+4603591 b,2015,13.400
2MASS J21252752-8138278 b,2024,12.400
2MASS J22362452+4751425 b,2016,12.300
30 Ari B b,2009,12.300
4 UMa b,2006,12.600
42 Dra b,2008,13.000
47 UMa b,1996,13.200
47 UMa c,2001,14.200
47 UMa d,2009,13.500
51 Eri b,2015,13.400
51 Peg b,1995,14.300
55 Cnc b,1996,13.900
55 Cnc c,2004,8.510
55 Cnc d,2002,13.000
55 Cnc e,2004,1.875
55 Cnc f,2007,7.590
6 Lyn b,2008,13.400
61 Vir b,2009,2.110
61 Vir c,2009,4.460
61 Vir d,2009,5.110
7 CMa b,2011,13.400
7 CMa c,2019,13.900
70 Vir b,1996,12.600
75 Cet b,2012,13.300
75 Cet c,2023,13.900
8 UMi b,2015,13.600
81 Cet b,2008,13.100
91 Aqr b,2013,13.100
AB Aur b,2022,12.500
AB Pic b,2005,12.300
AF Lep b,2023,13.100
AU Mic b,2020,3.957
AU Mic c,2021,2.522
AU Mic d,2023,1.020
BD+03 2562 b,2017,12.700
BD+14 4559 b,2009,13.800
BD+15 2375 b,2016,13.800
BD+15 2940 b,2013,13.700
BD+20 2457 b,2009,12.100
BD+20 2457 c,2009,12.400
BD+20 274 b,2012,13.000
BD+20 594 b,2016,2.578
BD+45 564 b,2021,13.600
BD+48 738 b,2011,13.900
BD+48 740 b,2018,13.500
BD+49 828 b,2015,13.500
BD+55 362 b,2021,14.000
BD+60 1417 b,2021,14.684
BD+63 1405 b,2021,12.400
BD-06 1339 b,2013,2.850
BD-06 1339 c,2013,8.380
BD-08 2823 b,2009,3.610
BD-08 2823 c,2009,12.500
BD-10 3166 b,2000,14.100
BD-11 4672 b,2014,14.100
BD-11 4672 c,2020,4.040
BD-13 2130 b,2007,12.500
BD-14 3065 b,2024,21.590
BD-17 63 b,2008,12.800
BD-210397 b,2023,14.000
BD-210397 c,2023,12.900
Barnard b,2024,0.764
CD Cet b,2020,1.820
CFBDSIR J145829+101343 b,2011,12.400
CFHTWIR-Oph 98 b,2021,20.849
CHXR 73 b,2006,12.300
CI Tau c,2024,13.000
COCONUTS-2 b,2021,12.442
CT Cha b,2007,24.660
CoRoT-1 b,2008,16.700
CoRoT-10 b,2010,10.870
CoRoT-11 b,2010,16.030
CoRoT-12 b,2010,16.140
CoRoT-13 b,2010,9.920
CoRoT-14 b,2010,12.220
CoRoT-16 b,2011,13.110
CoRoT-17 b,2011,11.430
CoRoT-18 b,2011,14.680
CoRoT-19 b,2011,14.460
CoRoT-2 b,2008,16.432
CoRoT-20 b,2011,9.416
CoRoT-20 c,2018,12.200
CoRoT-21 b,2012,14.572
